,Year,Team,Winner
0,2015.0,1,Marc Gasol
1,2015.0,2,Pau Gasol
2,2015.0,3,DeAndre Jordan
3,2014.0,1,Joakim Noah
4,2014.0,2,Dwight Howard
5,2014.0,3,Al Jefferson
6,2013.0,1,Tim Duncan
7,2013.0,2,Marc Gasol
8,2013.0,3,Dwight Howard
9,2012.0,1,Dwight Howard
10,2012.0,2,Andrew Bynum
11,2012.0,3,Tyson Chandler
12,2011.0,1,Dwight Howard
13,2011.0,2,Amar'e Stoudemire
14,2011.0,3,Al Horford
15,2010.0,1,Dwight Howard
16,2010.0,2,Amar'e Stoudemire
17,2010.0,3,Andrew Bogut
18,2009.0,1,Dwight Howard
19,2009.0,2,Yao Ming
20,2009.0,3,Shaquille O'Neal
21,2008.0,1,Dwight Howard
22,2008.0,2,Amar'e Stoudemire
23,2008.0,3,Yao Ming
24,2007.0,1,Amar'e Stoudemire
25,2007.0,2,Yao Ming
26,2007.0,3,Dwight Howard
27,2006.0,1,Shaquille O'Neal
28,2006.0,2,Ben Wallace
29,2006.0,3,Yao Ming
30,2005.0,1,Shaquille O'Neal
31,2005.0,2,Amar'e Stoudemire
32,2005.0,3,Ben Wallace
33,2004.0,1,Shaquille O'Neal
34,2004.0,2,Ben Wallace
35,2004.0,3,Yao Ming
36,2003.0,1,Shaquille O'Neal
37,2003.0,2,Ben Wallace
38,2003.0,3,Jermaine O'Neal
39,2002.0,1,Shaquille O'Neal
40,2002.0,2,Dirk Nowitzki
41,2002.0,3,Dikembe Mutombo
42,2001.0,1,Shaquille O'Neal
43,2001.0,2,Dikembe Mutombo
44,2001.0,3,David Robinson
45,2000.0,1,Shaquille O'Neal
46,2000.0,2,Alonzo Mourning
47,2000.0,3,David Robinson
48,1999.0,1,Alonzo Mourning
49,1999.0,2,Shaquille O'Neal
50,1999.0,3,Hakeem Olajuwon
51,1998.0,1,Shaquille O'Neal
52,1998.0,2,David Robinson
53,1998.0,3,Dikembe Mutombo
54,1997.0,1,Hakeem Olajuwon
55,1997.0,2,Patrick Ewing
56,1997.0,3,Shaquille O'Neal
57,1996.0,1,David Robinson
58,1996.0,2,Hakeem Olajuwon
59,1996.0,3,Shaquille O'Neal
60,1995.0,1,David Robinson
61,1995.0,2,Shaquille O'Neal
62,1995.0,3,Hakeem Olajuwon
63,1994.0,1,Hakeem Olajuwon
64,1994.0,2,David Robinson
65,1994.0,3,Shaquille O'Neal
66,1993.0,1,Hakeem Olajuwon
67,1993.0,2,Patrick Ewing
68,1993.0,3,David Robinson
69,1992.0,1,David Robinson
70,1992.0,2,Patrick Ewing
71,1992.0,3,Brad Daugherty
72,1991.0,1,David Robinson
73,1991.0,2,Patrick Ewing
74,1991.0,3,Hakeem Olajuwon
75,1990.0,1,Patrick Ewing
76,1990.0,2,Hakeem Olajuwon
77,1990.0,3,David Robinson
78,2015.0,1,Anthony Davis
79,2015.0,2,DeMarcus Cousins
80,2015.0,3,Tim Duncan
81,2014.0,1,LeBron James
82,2014.0,2,Blake Griffin
83,2014.0,3,LaMarcus Aldridge
84,2013.0,1,LeBron James
85,2013.0,2,Blake Griffin
86,2013.0,3,David Lee
87,2012.0,1,LeBron James
88,2012.0,2,Kevin Love
89,2012.0,3,Carmelo Anthony
90,2011.0,1,Kevin Durant
91,2011.0,2,Pau Gasol
92,2011.0,3,LaMarcus Aldridge
93,2010.0,1,LeBron James
94,2010.0,2,Carmelo Anthony
95,2010.0,3,Tim Duncan
96,2009.0,1,LeBron James
97,2009.0,2,Tim Duncan
98,2009.0,3,Carmelo Anthony
99,2008.0,1,Kevin Garnett
100,2008.0,2,Tim Duncan
101,2008.0,3,Carlos Boozer
102,2007.0,1,Tim Duncan
103,2007.0,2,Chris Bosh
104,2007.0,3,Kevin Garnett
105,2006.0,1,LeBron James
106,2006.0,2,Tim Duncan
107,2006.0,3,Shawn Marion
108,2005.0,1,Tim Duncan
109,2005.0,2,Kevin Garnett
110,2005.0,3,Shawn Marion
111,2004.0,1,Tim Duncan
112,2004.0,2,Peja Stojakovic
